                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.8033,                 2.1393,                 1.3234,                0.89848,                0.33227,                0.37958,                0.32258,                0.16615,                0.35433,                  0.354,                0.36786,                0.13707,                 1.7612,                 2.3035,                 1.8747,                0.91874,             0.00045365,             0.00045365,             0.00045365
                     94,                 1.7311,                  2.028,                 1.4705,                0.91072,                0.30315,                0.38713,                0.30469,                0.16124,                0.40489,                0.30826,                0.36293,                0.13315,                 1.7739,                 2.3272,                 1.9164,                0.92231,             0.00044953,             0.00044953,             0.00044953
                     95,                 1.6775,                 1.9897,                 1.2763,                0.89565,                0.30573,                0.38728,                0.30246,                0.15907,                0.31992,                 0.3939,                0.35919,                0.13174,                 1.7745,                 2.3289,                 1.9769,                0.92015,             0.00044541,             0.00044541,             0.00044541
                     96,                 1.6528,                 2.0248,                 1.1543,                 0.8977,                0.32144,                0.37357,                 0.3076,                0.15953,                0.29918,                0.40221,                0.35519,                0.12873,                 1.7662,                 2.3053,                 2.0193,                 0.9183,             0.00044128,             0.00044128,             0.00044128
                     97,                  1.764,                 2.0947,                 1.4212,                0.90833,                0.30969,                0.38339,                0.31471,                0.16324,                 0.2947,                0.42874,                 0.3563,                0.12706,                 1.7589,                 2.2755,                 1.9626,                0.91781,             0.00043716,             0.00043716,             0.00043716
                     98,                 1.9472,                 2.2318,                 1.2756,                0.89946,                0.36097,                0.37663,                0.38225,                0.17157,                0.33367,                0.37315,                 0.3475,                0.13335,                 1.7531,                 2.2219,                 1.9716,                0.91601,             0.00043304,             0.00043304,             0.00043304
                     99,                 1.5698,                 1.8535,                 1.2686,                0.88441,                0.37835,                0.38227,                0.39963,                0.16959,                0.35895,                0.35389,                0.35046,                0.13571,                 1.7685,                 2.2197,                 1.9998,                0.91944,             0.00042891,             0.00042891,             0.00042891
                    100,                 1.6491,                 1.9611,                 1.2619,                0.88933,                0.32885,                0.35247,                0.31873,                0.15613,                0.39462,                0.33133,                0.35388,                0.13714,                  1.774,                 2.2675,                 2.0357,                0.91958,             0.00042479,             0.00042479,             0.00042479
                    101,                 1.5875,                 1.9687,                 1.3446,                0.91502,                0.32182,                0.36218,                0.29536,                0.15068,                0.46856,                0.28322,                0.36309,                0.13154,                 1.7587,                 2.3184,                 2.0348,                0.91409,             0.00042066,             0.00042066,             0.00042066
                    102,                 1.6981,                   2.02,                 1.2845,                0.90493,                0.32742,                 0.3891,                0.29755,                0.15034,                0.46387,                0.29937,                0.36294,                 0.1342,                 1.7581,                 2.3578,                 2.0031,                 0.9174,             0.00041654,             0.00041654,             0.00041654
                    103,                 1.7619,                 2.1125,                  1.454,                0.90515,                 0.3478,                0.36542,                0.29066,                0.14831,                0.44225,                0.36855,                0.36743,                0.13372,                 1.7616,                 2.3655,                 2.0207,                0.91672,             0.00041242,             0.00041242,             0.00041242
                    104,                 1.5271,                 1.8242,                 1.1833,                0.89035,                0.38789,                0.32039,                0.28571,                 0.1444,                0.46927,                 0.3849,                0.36622,                 0.1345,                 1.7898,                 2.4301,                 2.0771,                0.92284,             0.00040829,             0.00040829,             0.00040829
                    105,                 1.7835,                 2.0663,                 1.2246,                0.89023,                0.34856,                0.34264,                0.27575,                0.14458,                0.45864,                0.36368,                0.35605,                0.13265,                 1.7946,                 2.4426,                 2.1071,                0.92534,             0.00040417,             0.00040417,             0.00040417
                    106,                 1.6085,                 1.9967,                 1.1405,                0.88954,                0.39423,                 0.3387,                0.28663,                0.14929,                0.45427,                0.35461,                0.34707,                0.13352,                 1.7816,                 2.3866,                 2.0855,                0.92017,             0.00040005,             0.00040005,             0.00040005
                    107,                 1.5067,                 1.7978,                 1.2656,                 0.9009,                0.43475,                0.34917,                0.33132,                0.15833,                0.43168,                0.35784,                0.35517,                0.13676,                 1.7678,                  2.333,                 2.0444,                0.91642,             0.00039592,             0.00039592,             0.00039592
                    108,                 1.5159,                 1.8643,                 1.1795,                0.89005,                 0.4245,                0.33647,                0.32276,                0.15956,                0.42019,                 0.3658,                0.36397,                0.14176,                 1.7641,                 2.3226,                 2.0177,                0.91816,              0.0003918,              0.0003918,              0.0003918
                    109,                 1.5959,                 1.8942,                 1.2315,                0.89356,                0.40686,                0.32187,                 0.3098,                0.15762,                0.43967,                0.36211,                0.37391,                 0.1392,                 1.7644,                 2.3708,                 1.9787,                0.92391,             0.00038768,             0.00038768,             0.00038768
                    110,                   1.55,                 1.8898,                 1.2044,                0.91461,                0.36582,                0.33283,                0.30625,                0.15868,                0.42546,                 0.3519,                0.36563,                0.13981,                 1.7749,                 2.3774,                 1.9366,                0.92487,             0.00038355,             0.00038355,             0.00038355
                    111,                 1.7707,                 2.0812,                 1.3033,                0.88945,                 0.3654,                 0.3441,                 0.3153,                 0.1617,                0.51189,                0.28807,                0.36694,                0.13658,                 1.7774,                 2.3546,                  1.904,                0.92272,             0.00037943,             0.00037943,             0.00037943
                    112,                 1.7356,                 1.9942,                 1.2505,                0.90357,                0.40009,                0.35143,                0.33093,                0.16308,                0.38825,                0.35429,                0.35472,                 0.1319,                 1.7792,                  2.354,                 1.9178,                 0.9203,             0.00037531,             0.00037531,             0.00037531
                    113,                 1.8499,                 2.0755,                 1.3601,                0.89427,                0.40547,                0.34444,                 0.3493,                0.16324,                0.39062,                0.35528,                0.36034,                0.12974,                 1.7748,                 2.3605,                 1.9494,                0.91825,             0.00037118,             0.00037118,             0.00037118
                    114,                 1.7085,                 2.0506,                 1.1354,                0.89801,                0.58043,                0.32502,                0.41211,                0.17235,                0.50017,                0.29025,                0.35258,                0.13592,                 1.7823,                 2.3464,                 1.9651,                0.91447,             0.00036706,             0.00036706,             0.00036706
